match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason,provenance_summary
2026_special-100yj1-1-kyot-vs-kobe,1,2026-02-06,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-y-fm-vs-mcd,1,2026-02-06,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-ngsk-vs-hiro,1,2026-02-06,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-chib-vs-uraw,1,2026-02-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-FCtk-vs-kasm,1,2026-02-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-c-os-vs-g-os,1,2026-02-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-fuku-vs-okay,1,2026-02-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-nago-vs-shim,1,2026-02-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-ka-f-vs-kasw,1,2026-02-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-1-tk-v-vs-mito,1,2026-02-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-2-kobe-vs-ngsk,2,2026-02-13,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
