column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Season,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
Section,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
Date,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
Home,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
Score,379,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 379}"
Away,379,379,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 379}"
Stadium,379,0,379,0.0,1.0,fallback_mode,"{""fallback_mode"": 379}"
Home_Goals,379,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 379}"
Away_Goals,379,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 379}"
Home_Rest_Days,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Rest_Days,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Travel_Distance_km,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Formation,379,0,379,0.0,1.0,fallback_team_mode,"{""fallback_team_mode"": 379}"
Away_Formation,379,0,379,0.0,1.0,fallback_team_mode,"{""fallback_team_mode"": 379}"
Home_Current_Rank,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Current_Rank,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Rank_Diff,379,0,0,0.0,0.0,derived,"{""derived"": 379}"
Home_Rank_Delta_3,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Rank_Delta_3,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Elo_Before,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Elo_Before,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Elo_Diff,379,0,0,0.0,0.0,derived,"{""derived"": 379}"
Home_Market_Value,379,379,0,1.0,0.0,actual_latest_pre_match_snapshot,"{""actual_latest_pre_match_snapshot"": 379}"
Away_Market_Value,379,379,0,1.0,0.0,actual_latest_pre_match_snapshot,"{""actual_latest_pre_match_snapshot"": 379}"
