column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Season,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
Section,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
Date,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
Home,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
Score,10,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 10}"
Away,10,10,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 10}"
Stadium,10,0,10,0.0,1.0,fallback_mode,"{""fallback_mode"": 10}"
Attendance,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Home_Goals,10,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 10}"
Away_Goals,10,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 10}"
Home_Rest_Days,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Rest_Days,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Travel_Distance_km,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Formation,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Away_Formation,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Home_Current_Rank,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Current_Rank,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Rank_Diff,10,0,0,0.0,0.0,derived,"{""derived"": 10}"
Home_Rank_Delta_3,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Rank_Delta_3,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Elo_Before,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Elo_Before,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Elo_Diff,10,0,0,0.0,0.0,derived,"{""derived"": 10}"
Home_Market_Value,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Away_Market_Value,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Market_Value_Diff,10,0,0,0.0,0.0,derived,"{""derived"": 10}"
Home_Manager_Tenure,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Manager_Tenure,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Current_Points,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Current_Points,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Rolling_Points_5,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Rolling_Points_5,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Rolling_xG,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Away_Rolling_xG,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Home_AGI,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Home_KAGI,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Away_AGI,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
Away_KAGI,10,10,0,1.0,0.0,actual_2026_special,"{""actual_2026_special"": 10}"
H2H_Score_Avg,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Capacity,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Stadium_Fill_Rate,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Goal_Diff,10,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 10}"
Match_Result,10,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 10}"
Home_Prev_Total Shots,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Shots on Target,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Shots Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Goals,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Goals Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Clean Sheets,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Passes,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Dribbles,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Through Passes,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Crosses,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Clearances,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Tackles,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Blocks,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Fouls,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Total Interceptions,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Aerial Duels Won,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Yellow Cards,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Red Cards,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Average Possession,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Chances Created,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Duels Won,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
