season,league,competition,category,section,section_label,match_date,kickoff_time,home_team,away_team,home_score,away_score,stadium,attendance,status,match_url,match_id
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第１日,2026-08-07,19:26,y-fm,kasm,3.0,4.0,MUFG国立,63960.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-y-fm-vs-kasm
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第１日,2026-08-07,19:33,g-os,uraw,4.0,3.0,パナスタ,34855.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-g-os-vs-uraw
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:04,kasw,mito,2.0,1.0,三協Ｆ柏,13701.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-kasw-vs-mito
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:05,FCtk,mcd,1.0,5.0,味スタ,36336.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-FCtk-vs-mcd
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:03,nago,shim,0.0,1.0,豊田ス,40494.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-nago-vs-shim
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:03,c-os,okay,2.0,1.0,ハナサカ,21843.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-c-os-vs-okay
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:04,fuku,kobe,0.0,1.0,ベススタ,17538.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-fuku-vs-kobe
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第２日,2026-08-08,19:19,hiro,chib,3.0,0.0,Ｅピース,27624.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-hiro-vs-chib
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第３日,2026-08-09,18:04,tk-v,ka-f,1.0,1.0,味スタ,27452.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-tk-v-vs-ka-f
2026_27,J1,明治安田J1リーグ,j1,1.0,第１節第３日,2026-08-09,19:08,ngsk,kyot,2.0,1.0,ピースタ,20489.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-1-ngsk-vs-kyot
2026_27,J1,明治安田J1リーグ,j1,2.0,第２節第１日,2026-08-14,19:03,tk-v,kasw,1.0,3.0,MUFG国立,44690.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-2-tk-v-vs-kasw
2026_27,J1,明治安田J1リーグ,j1,2.0,第２節第２日,2026-08-15,18:03,kasm,nago,2.0,1.0,メルスタ,33560.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-2-kasm-vs-nago
2026_27,J1,明治安田J1リーグ,j1,2.0,第２節第２日,2026-08-15,18:03,mito,g-os,1.0,1.0,水戸信ス,13226.0,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-2-mito-vs-g-os
