season,league,competition,category,section,section_label,match_date,kickoff_time,home_team,away_team,home_score,away_score,stadium,attendance,status,match_url,match_id
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,1,第１節第１日,2026-02-06,19:03,y-fm,mcd,2,3,日産ス,30529,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-y-fm-vs-mcd
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,1,第１節第１日,2026-02-06,19:03,kyot,kobe,1,1,サンガＳ,15083,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-kyot-vs-kobe
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,1,第１節第１日,2026-02-06,19:06,ngsk,hiro,1,3,ピースタ,20134,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-ngsk-vs-hiro
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,1,第１節第２日,2026-02-07,13:04,chib,uraw,0,2,フクアリ,16338,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-chib-vs-uraw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,1,第１節第２日,2026-02-07,13:35,FCtk,kasm,1,1,味スタ,32180,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-FCtk-vs-kasm
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,1,第１節第２日,2026-02-07,16:03,c-os,g-os,0,0,ヤンマー,42101,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-c-os-vs-g-os
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,1,第１節第３日,2026-02-08,15:03,ka-f,kasw,5,3,Ｕ等々力,22226,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-ka-f-vs-kasw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,1,第１節第３日,2026-02-08,16:03,tk-v,mito,3,1,味スタ,17941,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-tk-v-vs-mito
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,1,第１節第３日,2026-02-08,13:08,fuku,okay,1,1,ベススタ,10849,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-fuku-vs-okay
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,1,第１節第３日,2026-02-08,14:03,nago,shim,1,0,豊田ス,38120,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-1-nago-vs-shim
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,2,第２節第１日,2026-02-13,19:03,kobe,ngsk,2,0,ノエスタ,18633,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-kobe-vs-ngsk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,2,第２節第１日,2026-02-14,14:03,mcd,mito,2,2,Ｇスタ,10442,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-mcd-vs-mito
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,2,第２節第１日,2026-02-14,15:03,FCtk,uraw,1,1,味スタ,32365,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-FCtk-vs-uraw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,2,第２節第１日,2026-02-14,15:03,kasm,y-fm,1,0,メルスタ,31091,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-kasm-vs-y-fm
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,2,第２節第２日,2026-02-14,14:03,hiro,okay,1,1,Ｅピース,27179,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-hiro-vs-okay
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,2,第２節第２日,2026-02-14,14:03,shim,kyot,1,1,アイスタ,15416,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-shim-vs-kyot
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,2,第２節第２日,2026-02-15,13:03,chib,ka-f,0,0,フクアリ,16389,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-chib-vs-ka-f
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,2,第２節第２日,2026-02-15,14:03,kasw,tk-v,1,2,三協Ｆ柏,13643,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-kasw-vs-tk-v
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,2,第２節第３日,2026-02-15,15:03,fuku,c-os,0,2,ベススタ,6617,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-fuku-vs-c-os
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,2,第２節第３日,2026-02-15,16:03,g-os,nago,0,0,パナスタ,34964,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-2-g-os-vs-nago
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,3,第３節第１日,2026-02-21,14:03,tk-v,mcd,2,2,味スタ,15956,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-tk-v-vs-mcd
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,3,第３節第１日,2026-02-21,14:03,y-fm,uraw,0,2,日産ス,27391,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-y-fm-vs-uraw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,3,第３節第１日,2026-02-21,15:03,ka-f,FCtk,1,2,Ｕ等々力,22672,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-ka-f-vs-FCtk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,3,第３節第１日,2026-02-21,16:03,kasm,kasw,2,0,メルスタ,25993,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-kasm-vs-kasw
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,3,第３節第１日,2026-02-21,14:33,shim,kobe,1,0,アイスタ,16584,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-shim-vs-kobe
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,3,第３節第１日,2026-02-21,15:03,nago,ngsk,1,3,豊田ス,28581,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-nago-vs-ngsk
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,3,第３節第２日,2026-02-22,14:03,mito,chib,1,1,Ｋｓスタ,9675,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-mito-vs-chib
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,3,第３節第２日,2026-02-22,14:03,okay,g-os,1,2,ＪＦＥス,14412,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-okay-vs-g-os
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,3,第３節第２日,2026-02-22,14:03,kyot,fuku,2,0,サンガＳ,15322,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-kyot-vs-fuku
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,3,第３節第２日,2026-02-22,15:03,c-os,hiro,1,2,ヨドコウ,21013,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-3-c-os-vs-hiro
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,4,第４節第１日,2026-02-27,19:03,mcd,chib,2,1,Ｇスタ,8015,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-mcd-vs-chib
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,4,第４節第１日,2026-02-27,19:03,hiro,kyot,1,2,Ｅピース,26042,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-hiro-vs-kyot
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,4,第４節第１日,2026-02-27,19:03,kobe,fuku,2,1,ノエスタ,11556,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-kobe-vs-fuku
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,4,第４節第２日,2026-02-28,13:03,y-fm,tk-v,3,2,日産ス,21122,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-y-fm-vs-tk-v
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,4,第４節第２日,2026-02-28,14:03,uraw,kasm,2,3,埼玉,52841,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-uraw-vs-kasm
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,4,第４節第２日,2026-02-28,15:03,FCtk,kasw,0,2,味スタ,21869,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-FCtk-vs-kasw
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,4,第４節第２日,2026-02-28,15:03,g-os,shim,2,2,パナスタ,26522,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-g-os-vs-shim
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,4,第４節第２日,2026-02-28,17:03,ngsk,c-os,1,0,ピースタ,19941,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-ngsk-vs-c-os
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,4,第４節第３日,2026-03-01,16:03,ka-f,mito,2,2,Ｕ等々力,22779,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-ka-f-vs-mito
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,4,第４節第３日,2026-03-01,14:03,okay,nago,1,1,ＪＦＥス,14415,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-4-okay-vs-nago
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,5,第５節第１日,2026-03-07,13:03,chib,kasw,2,1,フクアリ,14646,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-chib-vs-kasw
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,5,第５節第１日,2026-03-07,14:03,FCtk,y-fm,3,0,MUFG国立,52934,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-FCtk-vs-y-fm
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,5,第５節第１日,2026-03-07,15:03,uraw,mito,2,0,埼玉,27571,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-uraw-vs-mito
2026_special,J1,明治安田Ｊ１百年構想 EASTグループ,100yj1,5,第５節第１日,2026-03-07,16:03,kasm,tk-v,2,0,メルスタ,19298,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-kasm-vs-tk-v
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,5,第５節第１日,2026-03-07,15:03,c-os,shim,0,0,ヨドコウ,15503,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-c-os-vs-shim
2026_special,J1,明治安田Ｊ１百年構想 WESTグループ,100yj1,5,第５節第１日,2026-03-07,16:03,fuku,nago,1,5,ベススタ,6695,finished,https://data.j-league.or.jp/SFMS01/search?competition_years=20261&competition_frame_ids=35&tv_relay_station_name=,2026_special-100yj1-5-fuku-vs-nago
