rank,position,player,cbp,cbp_90,played_games,goals,assists,team,source_url,scorer_score
1,MF,松村　優太,12.74,3.03,6,0,1,kasm,https://www.football-lab.jp/kasm/ranking,0.6893333333333334
2,DF,小川　諒也,12.03,2.02,6,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.45653333333333335
3,DF,広瀬　陸斗,11.32,2.42,6,0,0,kasm,https://www.football-lab.jp/kasm/ranking,0.3872
4,MF,マテウス　ブエノ,11.21,2.59,6,0,0,kasm,https://www.football-lab.jp/kasm/ranking,0.518
5,MF,柴崎　岳,10.16,2.96,6,0,1,kasm,https://www.football-lab.jp/kasm/ranking,0.6753333333333333
6,FW,鈴木　優磨,9.55,1.61,6,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.5864
7,FW,レオ　セアラ,8.45,1.47,6,8,0,kasm,https://www.football-lab.jp/kasm/ranking,1.9527999999999999
8,MF,三竿　健斗,8.38,2.13,6,0,0,kasm,https://www.football-lab.jp/kasm/ranking,0.426
9,FW,チャヴリッチ,6.89,3.39,6,3,0,kasm,https://www.football-lab.jp/kasm/ranking,1.4136
10,DF,関川　郁万,6.28,1.26,5,1,0,kasm,https://www.football-lab.jp/kasm/ranking,0.36160000000000003
1,DF,大森　渚生,8.03,1.34,6,0,1,mito,https://www.football-lab.jp/mito/ranking,0.2810666666666667
2,DF,真瀬　拓海,7.5,1.25,6,1,0,mito,https://www.football-lab.jp/mito/ranking,0.3333333333333333
3,MF,仙波　大志,6.69,1.12,6,0,2,mito,https://www.football-lab.jp/mito/ranking,0.3906666666666667
4,FW,谷口　海斗,6.14,1.32,6,0,1,mito,https://www.football-lab.jp/mito/ranking,0.4168
5,MF,鳥海　芳樹,5.46,1.1,6,1,2,mito,https://www.football-lab.jp/mito/ranking,0.5533333333333333
6,DF,木本　恭生,5.34,0.95,6,2,0,mito,https://www.football-lab.jp/mito/ranking,0.4186666666666667
7,MF,舩橋　佑,4.85,1.14,5,0,2,mito,https://www.football-lab.jp/mito/ranking,0.428
8,GK,西川　幸之介,4.27,0.71,6,0,0,mito,https://www.football-lab.jp/mito/ranking,0.142
9,DF,板倉　健太,3.47,0.91,4,0,0,mito,https://www.football-lab.jp/mito/ranking,0.14560000000000003
10,FW,渡邉　新太,3.43,0.75,6,5,0,mito,https://www.football-lab.jp/mito/ranking,1.18
1,MF,金子　拓郎,15.79,2.7,6,1,4,uraw,https://www.football-lab.jp/uraw/ranking,1.04
2,DF,宮本　優太,8.11,1.35,6,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.21600000000000003
3,MF,渡邊　凌磨,7.2,1.49,6,1,3,uraw,https://www.football-lab.jp/uraw/ranking,0.7146666666666666
4,MF,マテウス　サヴィオ,6.45,1.94,5,2,0,uraw,https://www.football-lab.jp/uraw/ranking,0.788
5,MF,安居　海渡,6.04,1.35,5,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.27
6,MF,長沼　洋一,6.02,1.68,5,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.336
7,DF,ダニーロ　ボザ,4.93,0.82,6,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.1312
8,MF,瀬古　樹,4.73,2.03,4,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.40599999999999997
9,DF,林　幸多郎,4.29,1.32,6,1,0,uraw,https://www.football-lab.jp/uraw/ranking,0.34453333333333336
10,FW,小森　飛絢,4.11,0.96,6,1,0,uraw,https://www.football-lab.jp/uraw/ranking,0.4304
1,MF,マテウス　インディオ,6.56,1.23,6,0,0,chib,https://www.football-lab.jp/chib/ranking,0.246
2,MF,津久井　匠海,5.96,1.12,6,1,0,chib,https://www.football-lab.jp/chib/ranking,0.3906666666666667
3,DF,河野　貴志,5.62,1.12,5,0,0,chib,https://www.football-lab.jp/chib/ranking,0.17920000000000003
4,MF,田口　泰士,5.49,1.77,5,0,1,chib,https://www.football-lab.jp/chib/ranking,0.45400000000000007
5,DF,飯田　貴敬,4.87,1.2,6,0,0,chib,https://www.football-lab.jp/chib/ranking,0.192
6,FW,石川　大地,4.77,0.92,6,0,1,chib,https://www.football-lab.jp/chib/ranking,0.32080000000000003
7,FW,エリソン,4.75,1.02,5,0,0,chib,https://www.football-lab.jp/chib/ranking,0.24480000000000002
8,DF,石尾　陸登,3.55,1.67,4,0,1,chib,https://www.football-lab.jp/chib/ranking,0.3672
9,DF,ダニエル　ホール,3.31,0.55,6,0,0,chib,https://www.football-lab.jp/chib/ranking,0.08800000000000002
10,FW,矢村　健,3.07,1.48,5,1,0,chib,https://www.football-lab.jp/chib/ranking,0.5952
1,MF,久保　藤次郎,14.44,2.72,6,1,3,kasw,https://www.football-lab.jp/kasw/ranking,0.9606666666666667
2,DF,原田　亘,13.4,2.55,6,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.40800000000000003
3,MF,中川　敦瑛,12.95,2.16,6,0,2,kasw,https://www.football-lab.jp/kasw/ranking,0.5986666666666667
4,DF,古賀　太陽,11.43,1.9,6,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.30400000000000005
5,MF,小泉　佳穂,11.0,2.08,6,2,1,kasw,https://www.football-lab.jp/kasw/ranking,0.8326666666666667
6,DF,杉岡　大暉,9.58,1.92,5,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.30720000000000003
7,MF,熊坂　光希,7.9,1.62,6,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.32400000000000007
8,MF,遠藤　渓太,7.44,1.67,6,1,0,kasw,https://www.football-lab.jp/kasw/ranking,0.5006666666666667
9,MF,弓場　堅真,4.29,2.32,5,1,1,kasw,https://www.football-lab.jp/kasw/ranking,0.764
10,MF,山内　日向汰,3.91,1.2,5,0,0,kasw,https://www.football-lab.jp/kasw/ranking,0.24
1,DF,アレクサンダー　ショルツ,10.65,1.77,6,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.28320000000000006
2,MF,本間　至恩,10.38,2.48,6,1,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.6626666666666666
3,FW,長倉　幹樹,10.19,1.96,6,4,2,FCtk,https://www.football-lab.jp/fctk/ranking,1.4704
4,MF,高　宇洋,9.78,1.78,6,1,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.5226666666666667
5,DF,室屋　成,9.13,1.84,5,0,1,FCtk,https://www.football-lab.jp/fctk/ranking,0.37440000000000007
6,DF,稲村　隼翔,8.32,2.18,4,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.34880000000000005
7,FW,佐藤　恵允,6.95,1.42,6,0,2,FCtk,https://www.football-lab.jp/fctk/ranking,0.5408
8,FW,マルセロ　ヒアン,6.57,1.66,6,3,1,FCtk,https://www.football-lab.jp/fctk/ranking,1.0984
9,MF,橋本　拳人,5.75,1.53,5,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.30600000000000005
10,DF,石原　広教,5.71,2.02,6,0,0,FCtk,https://www.football-lab.jp/fctk/ranking,0.32320000000000004
1,MF,福田　湧矢,7.04,1.64,5,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.328
2,FW,染野　唯月,5.04,0.9,6,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking,0.316
3,MF,平川　怜,4.67,0.89,6,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.17800000000000002
4,MF,新井　悠太,4.62,1.62,5,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.32400000000000007
5,DF,溝口　修平,4.07,0.84,5,1,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.2944
6,DF,内田　陽介,3.35,0.74,5,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.1184
7,MF,食野　壮磨,3.18,1.1,4,0,1,tk-v,https://www.football-lab.jp/tk-v/ranking,0.34500000000000003
8,DF,林　尚輝,3.16,0.7,5,1,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.27199999999999996
9,DF,鈴木　海音,2.98,0.63,6,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.1008
10,DF,井上　竜太,2.84,0.66,5,0,0,tk-v,https://www.football-lab.jp/tk-v/ranking,0.10560000000000001
1,FW,相馬　勇紀,15.46,2.65,6,2,3,mcd,https://www.football-lab.jp/mcd/ranking,1.3359999999999999
2,MF,前　寛之,8.09,1.35,6,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.27
3,MF,ネタ　ラヴィ,8.0,2.09,5,1,0,mcd,https://www.football-lab.jp/mcd/ranking,0.618
4,DF,中村　帆高,7.6,1.48,6,2,1,mcd,https://www.football-lab.jp/mcd/ranking,0.5701333333333333
5,DF,中山　雄太,7.06,2.35,3,1,2,mcd,https://www.football-lab.jp/mcd/ranking,0.9093333333333334
6,MF,明本　考浩,6.82,1.14,6,2,0,mcd,https://www.football-lab.jp/mcd/ranking,0.5613333333333332
7,DF,昌子　源,6.77,1.13,6,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.1808
8,FW,西村　拓真,5.12,1.68,6,2,0,mcd,https://www.football-lab.jp/mcd/ranking,0.8032
9,DF,岡村　大八,4.44,0.82,6,1,0,mcd,https://www.football-lab.jp/mcd/ranking,0.26453333333333334
10,GK,谷　晃生,3.85,0.64,6,0,0,mcd,https://www.football-lab.jp/mcd/ranking,0.128
1,FW,伊藤　達哉,15.11,2.82,6,1,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.9767999999999999
2,MF,山本　悠樹,14.71,2.54,6,1,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.6746666666666666
3,DF,佐々木　旭,9.51,2.83,6,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.5194666666666667
4,MF,脇坂　泰斗,8.94,1.49,6,2,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.7146666666666666
5,DF,山原　怜音,8.6,1.49,6,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.30506666666666665
6,MF,橘田　健人,8.31,1.5,6,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.30000000000000004
7,FW,マルシーニョ,7.91,2.13,6,4,1,ka-f,https://www.football-lab.jp/ka-f/ranking,1.4111999999999998
8,DF,ペドロ　ホマーノ,6.08,1.24,5,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.19840000000000002
9,DF,谷口　栄斗,5.67,1.13,5,0,0,ka-f,https://www.football-lab.jp/ka-f/ranking,0.1808
10,DF,三浦　颯太,4.54,1.38,6,0,1,ka-f,https://www.football-lab.jp/ka-f/ranking,0.28746666666666665
1,FW,近藤　友喜,9.98,1.86,6,0,2,y-fm,https://www.football-lab.jp/y-fm/ranking,0.6464000000000001
2,MF,松村　晃助,7.18,1.28,6,0,1,y-fm,https://www.football-lab.jp/y-fm/ranking,0.3393333333333333
3,DF,角田　涼太朗,6.77,1.23,6,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.1968
4,MF,天野　純,6.29,1.23,6,0,2,y-fm,https://www.football-lab.jp/y-fm/ranking,0.4126666666666666
5,MF,知念　慶,5.38,1.07,6,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.21400000000000002
6,DF,ジェイソン　キニョーネス,5.37,0.9,6,0,0,y-fm,https://www.football-lab.jp/y-fm/ranking,0.14400000000000002
7,DF,井上　太聖,5.35,0.9,6,1,1,y-fm,https://www.football-lab.jp/y-fm/ranking,0.3440000000000001
