rank,position,player,cbp,cbp_90,played_games,goals,assists,team,source_url,scorer_score
1,FW,鈴木　優磨,31.58,1.75,19,6,5,kasm,https://www.football-lab.jp/kasm/ranking,0.9568421052631577
2,MF,三竿　健斗,25.1,1.65,17,1,0,kasm,https://www.football-lab.jp/kasm/ranking,0.38882352941176473
3,DF,濃野　公人,24.1,1.41,18,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.3367111111111111
4,DF,植田　直通,21.6,1.14,19,2,1,kasm,https://www.football-lab.jp/kasm/ranking,0.2876631578947368
5,FW,レオ　セアラ,19.35,1.06,19,10,2,kasm,https://www.football-lab.jp/kasm/ranking,0.9491368421052631
6,MF,荒木　遼太郎,17.72,1.76,16,1,2,kasm,https://www.football-lab.jp/kasm/ranking,0.47700000000000004
7,DF,キム　テヒョン,17.35,1.16,15,1,1,kasm,https://www.football-lab.jp/kasm/ranking,0.2656
8,MF,柴崎　岳,14.81,1.78,14,0,3,kasm,https://www.football-lab.jp/kasm/ranking,0.4631428571428572
9,MF,樋口　雄太,13.64,1.51,14,0,2,kasm,https://www.football-lab.jp/kasm/ranking,0.37342857142857144
10,DF,安西　幸輝,12.38,1.59,10,0,1,kasm,https://www.football-lab.jp/kasm/ranking,0.29440000000000005
1,DF,大森　渚生,24.55,1.53,18,0,0,mito,https://www.football-lab.jp/mito/ranking,0.24480000000000005
2,MF,大崎　航詩,22.93,1.42,17,0,0,mito,https://www.football-lab.jp/mito/ranking,0.284
3,MF,仙波　大志,20.74,1.45,18,1,2,mito,https://www.football-lab.jp/mito/ranking,0.4011111111111111
4,DF,板倉　健太,18.59,0.98,19,0,0,mito,https://www.football-lab.jp/mito/ranking,0.15680000000000002
5,DF,真瀬　拓海,17.78,1.26,16,0,1,mito,https://www.football-lab.jp/mito/ranking,0.22660000000000002
6,MF,新井　瑞希,15.61,2.67,10,0,1,mito,https://www.football-lab.jp/mito/ranking,0.5840000000000001
7,DF,飯田　貴敬,15.0,1.2,13,0,1,mito,https://www.football-lab.jp/mito/ranking,0.22276923076923075
8,FW,渡邉　新太,14.45,1.12,16,4,1,mito,https://www.football-lab.jp/mito/ranking,0.6063
9,MF,鳥海　芳樹,14.32,1.53,12,2,0,mito,https://www.football-lab.jp/mito/ranking,0.4726666666666667
10,MF,山本　隼大,11.61,1.72,17,1,0,mito,https://www.football-lab.jp/mito/ranking,0.40282352941176475
1,MF,金子　拓郎,31.02,2.02,19,2,1,uraw,https://www.football-lab.jp/uraw/ranking,0.535578947368421
2,MF,マテウス　サヴィオ,27.67,1.85,18,2,5,uraw,https://www.football-lab.jp/uraw/ranking,0.6200000000000001
3,DF,宮本　優太,23.07,1.54,15,0,0,uraw,https://www.football-lab.jp/uraw/ranking,0.24640000000000006
4,MF,渡邊　凌磨,21.51,1.25,18,3,0,uraw,https://www.football-lab.jp/uraw/ranking,0.41666666666666663
