rank,team,team_name,value,value_text,stat_type,stat_label
1,hiro,サンフレッチェ広島,306.0,306,shoot,Total Shots
2,FCtk,ＦＣ東京,295.0,295,shoot,Total Shots
3,uraw,浦和レッズ,258.0,258,shoot,Total Shots
4,nago,名古屋グランパス,253.0,253,shoot,Total Shots
5,kasw,柏レイソル,248.0,248,shoot,Total Shots
5,kobe,ヴィッセル神戸,248.0,248,shoot,Total Shots
7,kyot,京都サンガF.C.,245.0,245,shoot,Total Shots
8,g-os,ガンバ大阪,240.0,240,shoot,Total Shots
9,okay,ファジアーノ岡山,232.0,232,shoot,Total Shots
10,ka-f,川崎フロンターレ,224.0,224,shoot,Total Shots
10,c-os,セレッソ大阪,224.0,224,shoot,Total Shots
12,kasm,鹿島アントラーズ,222.0,222,shoot,Total Shots
12,mcd,ＦＣ町田ゼルビア,222.0,222,shoot,Total Shots
14,chib,ジェフユナイテッド千葉,215.0,215,shoot,Total Shots
15,y-fm,横浜Ｆ・マリノス,214.0,214,shoot,Total Shots
16,mito,水戸ホーリーホック,212.0,212,shoot,Total Shots
17,fuku,アビスパ福岡,210.0,210,shoot,Total Shots
18,ngsk,Ｖ・ファーレン長崎,208.0,208,shoot,Total Shots
19,shim,清水エスパルス,202.0,202,shoot,Total Shots
20,tk-v,東京ヴェルディ,184.0,184,shoot,Total Shots
1,g-os,ガンバ大阪,96.0,96,shoot_on_target,Shots on Target
2,FCtk,ＦＣ東京,95.0,95,shoot_on_target,Shots on Target
3,nago,名古屋グランパス,90.0,90,shoot_on_target,Shots on Target
4,hiro,サンフレッチェ広島,88.0,88,shoot_on_target,Shots on Target
5,kyot,京都サンガF.C.,84.0,84,shoot_on_target,Shots on Target
6,kobe,ヴィッセル神戸,83.0,83,shoot_on_target,Shots on Target
7,uraw,浦和レッズ,79.0,79,shoot_on_target,Shots on Target
7,c-os,セレッソ大阪,79.0,79,shoot_on_target,Shots on Target
9,kasw,柏レイソル,74.0,74,shoot_on_target,Shots on Target
9,mcd,ＦＣ町田ゼルビア,74.0,74,shoot_on_target,Shots on Target
11,okay,ファジアーノ岡山,70.0,70,shoot_on_target,Shots on Target
12,chib,ジェフユナイテッド千葉,69.0,69,shoot_on_target,Shots on Target
13,kasm,鹿島アントラーズ,68.0,68,shoot_on_target,Shots on Target
