team,team_name,Unnamed: 0,Unnamed: 1,期待値,ゴール,差分,成績順位,table_index,被ゴール
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,2.303,2.71,0.407,4,0,
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.875,1.86,-0.015,8,0,
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,1.835,1.86,0.025,5,0,
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.698,1.86,0.162,7,0,
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.695,2.71,1.015,1,0,
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.596,1.57,-0.026,2,0,
kasw,柏レイソル柏,,柏レイソル柏,1.544,1.86,0.316,3,0,
shim,清水エスパルス清水,,清水エスパルス清水,1.451,0.57,-0.881,13,0,
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.44,1.57,0.13,12,0,
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.43,0.86,-0.57,16,0,
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.407,1.57,0.163,11,0,
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,1.395,1.43,0.035,6,0,
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,1.301,1.14,-0.161,18,0,
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.227,1.14,-0.087,15,0,
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.193,1.57,0.377,9,0,
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.099,1.29,0.191,17,0,
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,0.985,0.86,-0.125,10,0,
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,0.974,1.29,0.316,14,0,
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,0.962,0.43,-0.532,19,0,
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,0.831,0.86,0.029,20,0,
hiro,サンフレッチェ広島広島,,サンフレッチェ広島広島,0.778,,-0.068,4,1,0.71
okay,ファジアーノ岡山岡山,,ファジアーノ岡山岡山,0.982,,0.158,6,1,1.14
mcd,ＦＣ町田ゼルビア町田,,ＦＣ町田ゼルビア町田,1.064,,-0.354,1,1,0.71
FCtk,ＦＣ東京FC東京,,ＦＣ東京FC東京,1.078,,0.062,5,1,1.14
kobe,ヴィッセル神戸神戸,,ヴィッセル神戸神戸,1.095,,-0.385,2,1,0.71
fuku,アビスパ福岡福岡,,アビスパ福岡福岡,1.099,,0.331,18,1,1.43
kasm,鹿島アントラーズ鹿島,,鹿島アントラーズ鹿島,1.115,,0.455,8,1,1.57
kasw,柏レイソル柏,,柏レイソル柏,1.194,,0.236,3,1,1.43
ngsk,Ｖ・ファーレン長崎長崎,,Ｖ・ファーレン長崎長崎,1.337,,0.663,14,1,2.0
ka-f,川崎フロンターレ川崎Ｆ,,川崎フロンターレ川崎Ｆ,1.385,,-0.095,7,1,1.29
shim,清水エスパルス清水,,清水エスパルス清水,1.442,,-0.442,13,1,1.0
uraw,浦和レッズ浦和,,浦和レッズ浦和,1.506,,0.924,12,1,2.43
tk-v,東京ヴェルディ東京Ｖ,,東京ヴェルディ東京Ｖ,1.624,,-0.334,19,1,1.29
y-fm,横浜Ｆ・マリノス横浜FM,,横浜Ｆ・マリノス横浜FM,1.633,,-0.343,9,1,1.29
nago,名古屋グランパス名古屋,,名古屋グランパス名古屋,1.652,,0.208,16,1,1.86
mito,水戸ホーリーホック水戸,,水戸ホーリーホック水戸,1.674,,-0.384,11,1,1.29
chib,ジェフユナイテッド千葉千葉,,ジェフユナイテッド千葉千葉,1.84,,0.45,20,1,2.29
g-os,ガンバ大阪Ｇ大阪,,ガンバ大阪Ｇ大阪,1.865,,-0.005,15,1,1.86
kyot,京都サンガF.C.京都,,京都サンガF.C.京都,1.933,,0.067,17,1,2.0
c-os,セレッソ大阪Ｃ大阪,,セレッソ大阪Ｃ大阪,1.948,,-0.378,10,1,1.57
