team,team_name,ＰＫ,セットプレー直接,セットプレーから,クロスから,スルーパスから,30m未満のパスから,30m以上のパスから,ドリブルから,こぼれ球から,その他
mcd,町田,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
g-os,Ｇ大阪,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
kasm,鹿島,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
y-fm,横浜FM,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
uraw,浦和,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hiro,広島,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ngsk,長崎,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
c-os,Ｃ大阪,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
kasw,柏,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
shim,清水,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FCtk,FC東京,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okay,岡山,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kobe,神戸,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mito,水戸,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ka-f,川崎Ｆ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tk-v,東京Ｖ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
kyot,京都,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nago,名古屋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuku,福岡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chib,千葉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
