team,team_name,Unnamed: 0,Unnamed: 1,Unnamed: 2,AGI,ゴール,シュート,成績順位,table_index,KAGI,被ゴール,被シュート
okay,ファジアーノ岡山岡山,1,,ファジアーノ岡山岡山,66.2,0.67,18.33,9,0,,,
hiro,サンフレッチェ広島広島,2,,サンフレッチェ広島広島,61.3,2.67,20.67,4,0,,,
ka-f,川崎フロンターレ川崎Ｆ,3,,川崎フロンターレ川崎Ｆ,56.8,1.33,17.33,13,0,,,
shim,清水エスパルス清水,4,,清水エスパルス清水,56.8,0.33,11.33,15,0,,,
uraw,浦和レッズ浦和,5,,浦和レッズ浦和,56.2,1.33,14.67,19,0,,,
kasw,柏レイソル柏,6,,柏レイソル柏,54.6,3.0,13.0,2,0,,,
nago,名古屋グランパス名古屋,7,,名古屋グランパス名古屋,54.2,1.33,16.67,13,0,,,
fuku,アビスパ福岡福岡,8,,アビスパ福岡福岡,54.1,1.33,13.67,12,0,,,
kyot,京都サンガF.C.京都,9,,京都サンガF.C.京都,51.3,1.33,11.67,18,0,,,
FCtk,ＦＣ東京FC東京,10,,ＦＣ東京FC東京,50.7,1.67,15.67,11,0,,,
kobe,ヴィッセル神戸神戸,11,,ヴィッセル神戸神戸,50.2,1.0,9.33,8,0,,,
mcd,ＦＣ町田ゼルビア町田,12,,ＦＣ町田ゼルビア町田,50.1,4.0,15.0,1,0,,,
kasm,鹿島アントラーズ鹿島,13,,鹿島アントラーズ鹿島,50.0,2.67,15.67,3,0,,,
g-os,ガンバ大阪Ｇ大阪,14,,ガンバ大阪Ｇ大阪,45.7,2.0,13.67,10,0,,,
y-fm,横浜Ｆ・マリノス横浜FM,15,,横浜Ｆ・マリノス横浜FM,45.0,1.67,9.33,5,0,,,
mito,水戸ホーリーホック水戸,16,,水戸ホーリーホック水戸,44.4,1.67,15.67,7,0,,,
c-os,セレッソ大阪Ｃ大阪,17,,セレッソ大阪Ｃ大阪,39.5,1.0,8.33,6,0,,,
ngsk,Ｖ・ファーレン長崎長崎,18,,Ｖ・ファーレン長崎長崎,37.4,1.33,7.67,16,0,,,
chib,ジェフユナイテッド千葉千葉,19,,ジェフユナイテッド千葉千葉,34.0,0.0,8.0,20,0,,,
tk-v,東京ヴェルディ東京Ｖ,20,,東京ヴェルディ東京Ｖ,31.4,0.67,10.0,17,0,,,
okay,ファジアーノ岡山岡山,1,,ファジアーノ岡山岡山,,,,9,1,72.8,0.67,4.67
kasw,柏レイソル柏,2,,柏レイソル柏,,,,2,1,66.3,1.33,10.67
fuku,アビスパ福岡福岡,3,,アビスパ福岡福岡,,,,12,1,56.9,1.0,8.67
hiro,サンフレッチェ広島広島,4,,サンフレッチェ広島広島,,,,4,1,56.4,0.33,9.0
mcd,ＦＣ町田ゼルビア町田,5,,ＦＣ町田ゼルビア町田,,,,1,1,54.8,0.67,13.67
nago,名古屋グランパス名古屋,6,,名古屋グランパス名古屋,,,,13,1,54.8,1.33,14.0
kasm,鹿島アントラーズ鹿島,7,,鹿島アントラーズ鹿島,,,,3,1,54.0,1.67,13.67
FCtk,ＦＣ東京FC東京,8,,ＦＣ東京FC東京,,,,11,1,53.8,2.33,11.67
kobe,ヴィッセル神戸神戸,9,,ヴィッセル神戸神戸,,,,8,1,51.3,1.0,11.33
kyot,京都サンガF.C.京都,10,,京都サンガF.C.京都,,,,18,1,48.4,2.33,17.0
ka-f,川崎フロンターレ川崎Ｆ,11,,川崎フロンターレ川崎Ｆ,,,,13,1,47.9,1.33,14.33
mito,水戸ホーリーホック水戸,12,,水戸ホーリーホック水戸,,,,7,1,47.6,1.33,13.67
y-fm,横浜Ｆ・マリノス横浜FM,13,,横浜Ｆ・マリノス横浜FM,,,,5,1,47.2,1.33,12.33
shim,清水エスパルス清水,14,,清水エスパルス清水,,,,15,1,46.0,0.67,13.0
uraw,浦和レッズ浦和,15,,浦和レッズ浦和,,,,19,1,44.5,3.67,16.0
chib,ジェフユナイテッド千葉千葉,16,,ジェフユナイテッド千葉千葉,,,,20,1,43.8,3.0,20.0
c-os,セレッソ大阪Ｃ大阪,17,,セレッソ大阪Ｃ大阪,,,,6,1,43.3,1.33,14.0
g-os,ガンバ大阪Ｇ大阪,18,,ガンバ大阪Ｇ大阪,,,,10,1,40.9,2.33,18.0
tk-v,東京ヴェルディ東京Ｖ,19,,東京ヴェルディ東京Ｖ,,,,17,1,40.5,1.33,15.33
ngsk,Ｖ・ファーレン長崎長崎,20,,Ｖ・ファーレン長崎長崎,,,,16,1,39.1,2.0,14.67
