team,formation,formation_starts,source_url,source_updated_at
kasm,4-4-2,6,https://www.football-lab.jp/kasm/formation/,2026-09-14
mito,4-4-2,6,https://www.football-lab.jp/mito/formation/,2026-09-14
uraw,4-1-2-3,5,https://www.football-lab.jp/uraw/formation/,2026-09-14
chib,4-4-2,4,https://www.football-lab.jp/chib/formation/,2026-09-14
kasw,3-4-2-1,7,https://www.football-lab.jp/kasw/formation/,2026-09-14
FCtk,4-4-2,7,https://www.football-lab.jp/fctk/formation/,2026-09-14
tk-v,3-4-2-1,7,https://www.football-lab.jp/tk-v/formation/,2026-09-14
mcd,3-4-2-1,7,https://www.football-lab.jp/mcd/formation/,2026-09-14
ka-f,4-2-3-1,7,https://www.football-lab.jp/ka-f/formation/,2026-09-14
y-fm,4-2-3-1,7,https://www.football-lab.jp/y-fm/formation/,2026-09-14
shim,4-1-2-3,7,https://www.football-lab.jp/shim/formation/,2026-09-14
nago,3-4-2-1,7,https://www.football-lab.jp/nago/formation/,2026-09-14
kyot,4-2-3-1,6,https://www.football-lab.jp/kyot/formation/,2026-09-14
g-os,4-2-3-1,7,https://www.football-lab.jp/g-os/formation/,2026-09-14
c-os,3-4-2-1,7,https://www.football-lab.jp/c-os/formation/,2026-09-14
okay,3-4-2-1,7,https://www.football-lab.jp/okay/formation/,2026-09-14
kobe,4-1-2-3,7,https://www.football-lab.jp/kobe/formation/,2026-09-14
hiro,3-4-2-1,7,https://www.football-lab.jp/hiro/formation/,2026-09-14
fuku,3-4-2-1,7,https://www.football-lab.jp/fuku/formation/,2026-09-14
ngsk,3-4-2-1,7,https://www.football-lab.jp/ngsk/formation/,2026-09-14
